<<<<<<< HEAD
,Q_Kvar
s1a,10.0
s2b,10.0
s4c,10.0
s5c,10.0
s6c,10.0
s7a,10.0
s9a,10.0
s10a,10.0
s11a,10.0
s12b,10.0
s16c,10.0
s17c,10.0
s19a,10.0
s20a,10.0
s22b,10.0
s24c,10.0
s28a,10.0
s29a,10.0
s30c,10.0
s31c,10.0
s32c,10.0
s33a,10.0
s34c,10.0
s35a,10.0
s37a,10.0
s38b,10.0
s39b,10.0
s41c,10.0
s42a,10.0
s43b,10.0
s45a,10.0
s46a,10.0
s47,10.0
s48,10.0
s49a,10.0
s49b,10.0
s49c,10.0
s50c,10.0
s51a,10.0
s52a,10.0
s53a,10.0
s55a,10.0
s56b,10.0
s58b,10.0
s59b,10.0
s60a,10.0
s62c,10.0
s63a,10.0
s64b,10.0
s65a,10.0
s65b,10.0
s65c,10.0
s66c,10.0
s68a,10.0
s69a,10.0
s70a,10.0
s71a,10.0
s73c,10.0
s74c,10.0
s75c,10.0
s76a,10.0
s76b,10.0
s76c,10.0
s77b,10.0
s79a,10.0
s80b,10.0
s82a,10.0
s83c,10.0
s84c,10.0
s85c,10.0
s86b,10.0
s87b,10.0
s88a,10.0
s90b,10.0
s92c,10.0
s94a,10.0
s95b,10.0
s96b,10.0
s98a,10.0
s99b,10.0
s100c,10.0
s102c,10.0
s103c,10.0
s104c,10.0
s106b,10.0
s107b,10.0
s109a,10.0
s111a,10.0
s112a,10.0
s113a,10.0
s114a,10.0
=======
,Q_Kvar
s1a,10.0
s2b,10.0
s4c,10.0
s5c,10.0
s6c,10.0
s7a,10.0
s9a,10.0
s10a,10.0
s11a,10.0
s12b,10.0
s16c,10.0
s17c,10.0
s19a,10.0
s20a,10.0
s22b,10.0
s24c,10.0
s28a,10.0
s29a,10.0
s30c,10.0
s31c,10.0
s32c,10.0
s33a,10.0
s34c,10.0
s35a,10.0
s37a,10.0
s38b,10.0
s39b,10.0
s41c,10.0
s42a,10.0
s43b,10.0
s45a,10.0
s46a,10.0
s47,10.0
s48,10.0
s49a,10.0
s49b,10.0
s49c,10.0
s50c,10.0
s51a,10.0
s52a,10.0
s53a,10.0
s55a,10.0
s56b,10.0
s58b,10.0
s59b,10.0
s60a,10.0
s62c,10.0
s63a,10.0
s64b,10.0
s65a,10.0
s65b,10.0
s65c,10.0
s66c,10.0
s68a,10.0
s69a,10.0
s70a,10.0
s71a,10.0
s73c,10.0
s74c,10.0
s75c,10.0
s76a,10.0
s76b,10.0
s76c,10.0
s77b,10.0
s79a,10.0
s80b,10.0
s82a,10.0
s83c,10.0
s84c,10.0
s85c,10.0
s86b,10.0
s87b,10.0
s88a,10.0
s90b,10.0
s92c,10.0
s94a,10.0
s95b,10.0
s96b,10.0
s98a,10.0
s99b,10.0
s100c,10.0
s102c,10.0
s103c,10.0
s104c,10.0
s106b,10.0
s107b,10.0
s109a,10.0
s111a,10.0
s112a,10.0
s113a,10.0
s114a,10.0
>>>>>>> c95bd52cf7785a800fc86d9c9eae4f02c840b076
